SMILES,Masse_Molaire
NC(Cc1ccccc1)C(=O)N1CCCC1,218.29482
CCc1n[nH]c(=O)c2ccccc12,174.1992
CCOC(=O)NC(CC(C)C)C(=O)NC,216.2774
CN1N=C(NC(=O)C(C)(C)C)SC1(C)c1ccccc1,291.41173
CNC(CO)CO,105.13564
CNC1CCCNC1,114.18876
CNC1CCNC1,100.16218
c1cnc2[nH]ccc2n1,119.124
C/C=C/C(=O)O,86.08924
CCCCNC(=O)C(CC)NC,172.26789
O=C(NO)C1Cc2ccccc2CN1S,224.27948
O=C(NO)C1Cc2ccccc2CN1,192.21447
NC(=O)C1CNC1,100.11911
CC(=O)NCCN(C)C,130.18815
CN1CC(O)C(O)C(O)C1,147.17232
Cc1cccc(NS(=O)(=O)c2ccccc2)c1,247.31281
Cn1cc(NC(=O)Nc2ccccc2)cn1,216.23918
Oc1ccccc1Cl,128.5563
O=C(O)CC1C=CCC1,126.1531
CC(N)C(=O)NO,104.10781
CCC(NC)C(=O)NC(C)C(=O)NC,201.26606
CC(N)C(=O)C(=O)NC1CC1,156.18238
CC(N)C(=O)C(=O)NC(C)c1ccccc1,220.26764
CCN(CC)C(=O)Nc1c(SC)ccnc1SC,285.42875
c1ccc(-c2nn[nH]n2)cc1,146.14934
CCCCNC(=O)C(N)CC,158.24131
COCC(=O)Nc1ccccc1,165.18913
SN1CCNCC1,118.2006
Oc1cccc2[nH]ccc12,133.14728
CSCC(=O)O,106.14354
NCC(O)CO,91.10905
Cc1c2c([nH]c(=O)c1C#N)-c1ccccc1CC2,236.26858
CC(N)c1c(C(=O)O)[nH]c2cc(Cl)ccc12,238.67024
NC1=NC2(c3ccccc3)COCCC2CS1,248.34394
CC1CC1CN,85.14754
O=C(NC(c1ccccc1)C1CC1)c1ccccc1,251.32298
O=C(O)Cc1cncs1,143.1637
Cc1ccccc1S(=O)(=O)Nc1onc(C)c1C,266.31615
CNC1C(N)C=C(C)OC1C,156.22544
CC(O)C(O)CO,106.12039
O=C(O)C1=CCCCO1,128.12591
O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,264.27868
CCCC(NC(=O)Nc1ccccc1)C(=O)N(C)C,263.33544
CCC(NC)C(O)CN(C)S,178.29562
CC/N=C(\N)c1ccccc1,148.20498
CNC1=C(c2ccccc2)C(=O)NC1=O,202.20929
CN(C)C(=O)c1ccc[nH]1,138.1671
CCCC(NC(=O)OC(C)C)C(=O)C(N)=O,230.26092
CC1(C)SC2CCC2C1C(=O)O,186.27126
CNC(=O)C(NC(=O)CC(C)C)C(C)C,214.30457
CNC(=O)c1cc2ccccc2[nH]1,174.1992
O=C(Nc1ccccc1)Nc1cccc(Cl)c1,246.69224
CN(C)CCN,88.15148
CNCCN(C)C,102.17806
CCCC(=O)NCc1ccccc1,177.2429
O=C(O)c1ccccc1,122.12134
CCCCNC(=O)/N=N/C,143.18691
NC1CCC=CCC1=O,125.16834
Nc1ncc(Cl)c(NCc2ccccc2)n1,234.68483
CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,281.34896
CCCC(NC(=O)C(CC)NC)C(=O)NC,229.31921
CCCC(NC(=O)C(CC)NC)C(N)=O,215.29263
c1ccc2c(C3CCNCC3)c[nH]c2c1,200.27954
CC1CC=CC(NS(=O)(=O)ON)O1,208.23548
CN(C)C(=O)CNC(=O)c1cc2ccccc2[nH]1,245.27709
C/C=C/CNC1CC1,111.18481
CCN/C(N)=N/C(C)=O,129.16034
O=C1C=CCC1C(=O)Nc1ccccc1,201.22124
Cc1csc2ncnc(N)c12,165.21557
O=S(=O)(Nc1noc2ccccc12)C1CC1,238.263
Cc1cc(NC(=O)c2ccccc2)no1,202.2093
O=C(c1cc2ccccc2[nH]1)N1CCNCC1,229.2777
CCCS(=O)(=O)NCCOC,181.2532
CC(N)c1ccccc1,121.17964
NC1CSC(c2ccccc2)C(N)C1,208.32314
NC(=O)CC(=O)O,103.07669
O=c1[nH]nc2c3c(cccc13)N=CN2,186.17013
CNCC1=Nc2cccc3c2C(=NNC3)N1,215.25442
CC1(C)CCSC(N)=N1,144.23787
CN(Cc1cnc[nH]1)c1ccccc1,187.24102
CNc1ccccn1,108.14112
O=C(NC1CCCCC1)c1ccccc1,203.28018
Cc1nc(C)c2nc[nH]c2n1,148.16521
NCCC(N)=O,88.10842
CCC(C)(C(=O)NO)S(C)(=O)=O,195.23672
OC1CC(Nc2nc3ccccc3s2)C1,220.29078
CC1CCCC(O)C1,114.18546
CNC(C)C(C)(C)O,117.1894
c1ccc(C(Nc2cccnc2)C2CCCC2)cc1,252.3541
O=C(O)CCNC(=O)c1ccccc1,193.19924
NC1CCNCCC1F,132.17922
CN1CCCC1C(N)=O,128.17228
CN1CC(O)C1,87.12036
NOCCO,77.08247
CNCC(C)NC(=O)OC,146.18756
